名称,最低价格,最高价格,产品图片链接
宝来,9.88,15.6,//img2.bitautoimg.com/autoalbum/files/20190102/242/0319542422_6.png
朗逸,9.99,16.19,//img4.bitautoimg.com/autoalbum/files/20191203/135/0340111354_6.jpg
桑塔纳,8.69,11.59,//img4.bitautoimg.com/autoalbum/files/20190102/343/0954043434_6.png
速腾,12.89,19.19,//img2.bitautoimg.com/autoalbum/files/20190122/561/1056225614_6.png
迈腾,18.61,30.99,//img1.bitautoimg.com/autoalbum/files/20191218/868/1119248681_6.jpg
探岳,18.59,31.39,//img2.bitautoimg.com/autoalbum/files/20191203/330/0341563309_6.jpg
高尔夫,14.13,23.42,//img2.bitautoimg.com/autoalbum/files/20180802/560/0312155601_6.jpg
凌渡,14.29,19.69,//img1.bitautoimg.com/autoalbum/files/20190102/771/0331377716_6.png
途岳,16.58,22.38,//img2.bitautoimg.com/autoalbum/files/20190114/700/0426047002_6.png
帕萨特,18.49,28.29,//img1.bitautoimg.com/autoalbum/files/20190122/686/0929086865_6.png
途观L,21.88,31.18,//img4.bitautoimg.com/autoalbum/files/20190104/175/0310091757_6.png
途昂,29.99,50.59,//img3.bitautoimg.com/autoalbum/files/20190102/298/0407052987_6.png
途铠,11.49,15.99,//img2.bitautoimg.com/autoalbum/files/20190314/804/0324388049_6.png
探歌,13.58,20.38,//img4.bitautoimg.com/autoalbum/files/20190102/642/1013046423_6.png
一汽-大众CC,24.68,30.18,//img1.bitautoimg.com/autoalbum/files/20190102/268/0322402685_6.png
途观,19.48,23.18,//img1.bitautoimg.com/autoalbum/files/20181213/999/0143029995_6.jpg
探影,11.49,15.99,//img1.bitautoimg.com/autoalbum/files/20191028/545/1021325456_6.jpg
Polo,9.99,12.39,//img1.bitautoimg.com/autoalbum/files/20190624/639/0943156395_6.jpg
探岳X,23.58,29.58,//img1.bitautoimg.com/autoalbum/files/20200619/889/0415468894_6.jpg
辉昂,34.0,63.9,//img2.bitautoimg.com/autoalbum/files/20190102/382/0958523823_6.png
