车型名称,最低价格至最高价格,产品图片链接
"
                                        朗逸
                                    ","
                                        
                                        9.99-16.19万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20191203/135/0340111354_6.jpg
"
                                        宝来
                                    ","
                                        
                                        9.88-15.60万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190102/242/0319542422_6.png
"
                                        速腾
                                    ","
                                        
                                        12.89-19.19万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190122/561/1056225614_6.png
"
                                        桑塔纳
                                    ","
                                        
                                        8.69-11.59万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20190102/343/0954043434_6.png
"
                                        奥迪A4L
                                    ","
                                        
                                        30.58-39.68万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20200330/650/0549086506_6.jpg
"
                                        迈腾
                                    ","
                                        
                                        18.61-30.99万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20191218/868/1119248681_6.jpg
"
                                        探岳
                                    ","
                                        
                                        18.59-31.39万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20191203/330/0341563309_6.jpg
"
                                        奥迪A6L
                                    ","
                                        
                                        40.98-65.38万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190102/447/0320224472_6.png
"
                                        奥迪Q5L
                                    ","
                                        
                                        38.78-49.80万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20191203/577/0341295778_6.jpg
"
                                        捷达VS7
                                    ","
                                        
                                        10.68-13.68万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20191226/905/0432589054_6.jpg
"
                                        凌渡
                                    ","
                                        
                                        14.29-19.69万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20190102/771/0331377716_6.png
"
                                        途岳
                                    ","
                                        
                                        16.58-22.38万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190114/700/0426047002_6.png
"
                                        捷达VS5
                                    ","
                                        
                                        8.48-11.28万
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20190822/821/0822158218_6.jpg
"
                                        高尔夫
                                    ","
                                        
                                        14.13-23.42万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20180802/560/0312155601_6.jpg
"
                                        帕萨特
                                    ","
                                        
                                        18.49-28.29万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20190122/686/0929086865_6.png
"
                                        奥迪A3
                                    ","
                                        
                                        18.92-25.27万
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20190104/596/1156395964_6.png
"
                                        途观L
                                    ","
                                        
                                        21.88-31.18万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20190104/175/0310091757_6.png
"
                                        途昂
                                    ","
                                        
                                        29.99-50.59万
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20190102/298/0407052987_6.png
"
                                        途铠
                                    ","
                                        
                                        11.49-15.99万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190314/804/0324388049_6.png
"
                                        奥迪Q3
                                    ","
                                        
                                        27.18-36.18万
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20190416/918/0333509185_6.png
"
                                        探歌
                                    ","
                                        
                                        13.58-20.38万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20190102/642/1013046423_6.png
"
                                        捷达VA3
                                    ","
                                        
                                        6.58-9.28万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20200227/599/0511135996_6.jpg
"
                                        一汽-大众CC
                                    ","
                                        
                                        24.68-30.18万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20190102/268/0322402685_6.png
"
                                        途观
                                    ","
                                        
                                        19.48-23.18万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20181213/999/0143029995_6.jpg
"
                                        探影
                                    ","
                                        
                                        11.49-15.99万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20191028/545/1021325456_6.jpg
"
                                        明锐
                                    ","
                                        
                                        9.99-16.14万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20181218/557/0455285570_6.png
"
                                        途锐
                                    ","
                                        
                                        56.98-82.18万
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20180911/623/0542406239_6.png
